gene,logfoldchange,adj_p_value,cluster_7_percent,other_percent
Abr,-0.3760112524032593,0.3447120460607878,0.059758318159245156,0.07190996743091162
Tmco6,-0.3188852071762085,0.34390753100634164,0.06919384207912598,0.08132598110347941
Mir142hg,-0.16219907999038696,0.3425173214300696,0.18622744578712133,0.19490933324734233
Pde2a,-0.7458400726318359,0.3421687471649694,0.02284390001655355,0.03549278213107177
E4f1,-0.2637229859828949,0.33949113401345204,0.09485184572090713,0.10624187116399557
Usp7,-0.20367121696472168,0.3393034856683126,0.14865088561496442,0.15809443960745112
Dnajc14,-0.2022208720445633,0.3387894568329035,0.16222479721900349,0.17038040265282212
Armc10,-0.1749301552772522,0.33794814515170224,0.20327760304585332,0.20845291455720014
Os9,-0.13617001473903656,0.33641844198012255,0.25343486177785135,0.2568335966807477
Parp12,-1.1349579095840454,0.33638680769601303,0.012084092037742095,0.02491589006051616
B430306N03Rik,-1.0533535480499268,0.33269381013837035,0.015394802185068697,0.02818354777337074
Arhgap9,-0.08555497229099274,0.3317060774354702,0.3631849031617282,0.3626025173863038
Dnajc6,-0.9640735387802124,0.3309509289492199,0.01605694421453402,0.028925220083196285
Gne,-0.36589062213897705,0.32714387626111135,0.06637973845389836,0.07843453398256532
Zyx,-0.140433669090271,0.32707374723289206,0.23804005959278265,0.24277406941622864
Cant1,-0.21678179502487183,0.3253909345918605,0.14401589140870716,0.15342942826738898
Supt7l,-0.3184041380882263,0.32277347539868295,0.07581526237377918,0.08789354315135489
Cir1,-0.23314036428928375,0.3227684058138137,0.13011090878993545,0.13995034020186387
Ust,-0.8051149249076843,0.32257825684677255,0.02151961595762291,0.03442864359958294
Dda1,-0.13354463875293732,0.3219912601913156,0.25409700380731665,0.2573602915094644
Dock11,-0.17372219264507294,0.32193790732035127,0.20493295811951664,0.2108069179753421
Gm15441,-0.7852544188499451,0.32126332668329866,0.0203608674060586,0.033386002816205004
Acadl,-0.40376153588294983,0.3197527144892064,0.06157920874027479,0.07367278277600421
Zfp398,-0.2617305815219879,0.3185207349087962,0.10544611819235226,0.11675426999021853
Alg1,-0.25721392035484314,0.3176946740919403,0.11041218341334216,0.12123655047133813
Kri1,-0.15010353922843933,0.3159767181618028,0.22247972190034762,0.2288435286403749
Gm28809,-0.575602114200592,0.3159141718873739,0.03476245654692932,0.04763900981372201
Cbx8,-0.4568672478199005,0.31500964498492623,0.05131600728356232,0.06385906076338503
Iah1,-0.22511915862560272,0.3114947759564582,0.13292501241516305,0.1432609934109402
Fam214a,-0.5424063801765442,0.31048364182138455,0.04138387684158252,0.05412058086915396
Ppm1j,-0.6191311478614807,0.3070967100253739,0.03360370799536501,0.04652112691195597
Fech,-0.5311410427093506,0.3059184076173943,0.04270816090051316,0.05550718562230606
Erich1,-0.2641568183898926,0.30519717955980796,0.11107432544280749,0.12211795814388443
Slain1,-0.34102463722229004,0.30454852063371385,0.07531865585168018,0.08745283931508174
Ngrn,-0.1742410659790039,0.30415809086872436,0.18473762622082437,0.19226511022970344
Mettl21a,-0.43850448727607727,0.3022288333599578,0.05462671743088893,0.06726645383896036
Hist1h2be,-0.5680050253868103,0.3022288333599578,0.03757656017215693,0.050562703556802424
Borcs8,-0.10211049020290375,0.3022288333599578,0.33951332560834296,0.33728891898573626
Lpar5,-0.5677562952041626,0.30220816355785357,0.03707995365005794,0.05005750647619662
Ar,-0.4954878091812134,0.3010665203283463,0.046349942062572425,0.05917255167521202
Sdhaf4,-0.22465810179710388,0.30100367245098036,0.15427909286541963,0.16238324035557275
Ube2h,-0.29792386293411255,0.30095568026205566,0.08342989571263036,0.09576171895993894
Afmid,-0.5716823935508728,0.30039313502277115,0.04039066379738454,0.053217675448496767
Lpxn,-0.26466649770736694,0.2995501524845186,0.1100811123986095,0.12111831285672826
Dscr3,-0.2503507733345032,0.2978156999791648,0.11372289356066877,0.12507389850913117
Ctps2,-0.22754764556884766,0.29693395937329403,0.13226287038569773,0.14274504745627895
Pde11a,-0.603139340877533,0.2966515485457005,0.032941565965899686,0.04611266969784915
Slc25a24,-0.9468339681625366,0.2963376035581371,0.017546763780830987,0.030870766287231413
