gene,logfoldchange,adj_p_value,T.4N_Nr4a1_percent,other_percent
Acsf2,-0.44649655,0.8880338364888976,0.027644429730177122,0.03512732041318672
Sharpin,-0.094565324,0.8865692621395495,0.2656844893229598,0.26382036481678545
Mospd1,-0.3575695,0.8841244096019892,0.03840423770898858,0.045800952350241314
Ubl3,-0.14341621,0.8841244096019892,0.14865088561496442,0.15295647780894953
Prelid2,-0.16297203,0.8807024652100234,0.15808640953484523,0.16081390474347812
Ppcdc,-0.19880362,0.879405868036042,0.09799702036086741,0.10403835198262983
Dhrs13,-0.539656,0.8773813731794821,0.02185068697235557,0.029441166037857534
Elovl7,-0.76862246,0.8764291518173737,0.012249627545108426,0.019949910246901636
Whamm,-0.24531868,0.8752767686161077,0.06505545439496772,0.07209269828985414
Pkd1,-0.310288,0.8726690239666501,0.05098493626882966,0.05816215751400041
Brat1,-0.33742237,0.8726690239666501,0.056778679026651215,0.06364408328227618
Cyth2,-0.2001398,0.8715456033674883,0.09700380731666942,0.10319993980630529
Stag2,-0.09428054,0.8710864716705121,0.2636980632345638,0.261745832124085
Tmem80,-0.23173498,0.8708469309544847,0.0814434696242344,0.08805477626218654
Hlcs,-0.35869098,0.8701631184205563,0.042211554378414166,0.04961680263992347
Rufy1,-0.32305366,0.868881562391494,0.053136897864591956,0.06024743908075629
Col6a4,-1.024267,0.8680054643239207,0.008276775368316504,0.01604806896477594
Ap3m1,-0.15498517,0.8667347739524749,0.1782817414335375,0.18015112916921952
Cbl,-0.09341924,0.8638972916111798,0.25575235888097997,0.2561779153633657
Pccb,-0.31084284,0.8638972916111798,0.04966065220989902,0.057022776864123485
H1f0,-0.46202555,0.8635201356238473,0.029299784803840424,0.03691163350639021
Crebl2,-0.60865176,0.8610025746605002,0.02069193842079126,0.028398525254479594
2610035D17Rik,-0.625923,0.8588044967859656,0.017546763780830987,0.025324347274622985
Taok2,-0.24827766,0.8588044967859656,0.06820062903492799,0.07533885825459784
Lypd6b,-0.62961984,0.8581567157711397,0.017546763780830987,0.02534584502273387
Tep1,-0.4407755,0.8577369144243425,0.03360370799536501,0.0411896853804564
Tmem140,-1.0942856,0.8572316554124738,0.008773381890415493,0.01660701041565896
Gata1,-0.56345683,0.8567718370976863,0.02300943552391988,0.030752528672621543
Lcmt2,-0.37845215,0.8564274329648258,0.044860122496275454,0.05217503466511883
Auts2,-0.5672498,0.8547102896632979,0.01721569276609833,0.025087872045403244
Abcc10,-0.3797343,0.8542825750089592,0.04022512829001821,0.04771425193211011
Fam13b,-0.19302316,0.8542825750089592,0.10693593775864924,0.11290617307837005
Ate1,-0.14394203,0.8542825750089592,0.16106604866743918,0.16538217621704127
Zscan2,-0.29108745,0.8534601854181654,0.06042046018871048,0.06749218019412466
Brd1,-0.28303415,0.8515940744537179,0.06124813772554213,0.06839508561478184
Cep68,-0.24630766,0.851158981081699,0.07564972686641284,0.08242236625713456
Rgs11,-0.7556385,0.851158981081699,0.014236053633504386,0.022099685057990176
Tbc1d17,-0.21238433,0.851158981081699,0.10875682833967885,0.11409929809852418
S100a6,-1.7158377,0.851158981081699,0.004469458698890912,0.012382702911869981
Gm5617,-0.24265014,0.851158981081699,0.08177454063896705,0.08832349811357261
Kxd1,-0.10696634,0.851158981081699,0.25326932627048504,0.2505670031064246
Ubqln2,-0.17425247,0.8508750961147394,0.13275947690779671,0.1375425924134447
Zfp788,-0.36551738,0.8505818464036324,0.04717761959940407,0.05451828920920534
Setd1b,-0.19576648,0.8505818464036324,0.0946863102135408,0.10139412896499092
Gpaa1,-0.23867737,0.8505818464036324,0.07912597252110577,0.08592649919920889
Ndufa13,-0.0019830933,0.8501063550427568,0.7137891077636153,0.6968710027624606
Ep300,-0.16312541,0.8487004544359393,0.12646912762787618,0.13242612836305398
Lrrc8a,-0.42238528,0.8482351547795386,0.03360370799536501,0.041318671869121706
Slc17a5,-0.4942232,0.8480825625810039,0.024664790597583183,0.032515344017714144
Phf7,-0.30132657,0.8453783145308886,0.05330243337195829,0.06078488278352843
Gm43647,-0.51160336,0.845097214380397,0.02499586161231584,0.03285930798748831
Xpnpep3,-0.3835098,0.845097214380397,0.036914418142691606,0.044650822826308945
F8a,-0.1855389,0.8449254602018377,0.12034431385532196,0.12554684896757065
Znhit2,-0.18523787,0.843375836521889,0.10379076311868896,0.1101759590682876
